"Timestamp","Total score","Do you consent to participate? ","Do you consent to participate?  [Score]","Do you consent to participate?  [Feedback]","What is your age range?","What is your age range? [Score]","What is your age range? [Feedback]","What is your gender?","What is your gender? [Score]","What is your gender? [Feedback]","What is your academic year","What is your academic year [Score]","What is your academic year [Feedback]","How often do you use social media?","How often do you use social media? [Score]","How often do you use social media? [Feedback]","Which platforms do you use most frequently?","Which platforms do you use most frequently? [Score]","Which platforms do you use most frequently? [Feedback]","How often do you encounter health-related content on social media?","How often do you encounter health-related content on social media? [Score]","How often do you encounter health-related content on social media? [Feedback]","I trust doctors and healthcare professionals.","I trust doctors and healthcare professionals. [Score]","I trust doctors and healthcare professionals. [Feedback]","I trust public health agencies (e.g., CDC, WHO.)","I trust public health agencies (e.g., CDC, WHO.) [Score]","I trust public health agencies (e.g., CDC, WHO.) [Feedback]","I trust hospitals and healthcare systems. ","I trust hospitals and healthcare systems.  [Score]","I trust hospitals and healthcare systems.  [Feedback]","I trust government leadership in making health-related decisions.","I trust government leadership in making health-related decisions. [Score]","I trust government leadership in making health-related decisions. [Feedback]","Information from health professionals is more reliable than social media. ","Information from health professionals is more reliable than social media.  [Score]","Information from health professionals is more reliable than social media.  [Feedback]","In your own words, how does social media influence your trust in health information?  ","In your own words, how does social media influence your trust in health information?   [Score]","In your own words, how does social media influence your trust in health information?   [Feedback]"
"2026/03/26 12:36:20 PM AST","0.00 / 0","Yes - Continue to survey","-- / 0","","24+","-- / 0","","Male","-- / 0","","Senior","-- / 0","","1-2 hours","-- / 0","","Tiktok;YouTube;Facebook","-- / 0","","Often","-- / 0","","5","-- / 0","","2","-- / 0","","4","-- / 0","","3","-- / 0","","4","-- / 0","","","-- / 0",""
"2026/03/26 12:48:35 PM AST","0.00 / 0","Yes - Continue to survey","-- / 0","","18-20","-- / 0","","Male","-- / 0","","Freshman","-- / 0","","1-2 hours","-- / 0","","Tiktok;Instagram;YouTube","-- / 0","","Often","-- / 0","","5","-- / 0","","5","-- / 0","","5","-- / 0","","2","-- / 0","","5","-- / 0","","Social Media give a microphone to any famous person, regardless of their knowledge regarding health related subjects which makes me trust it less","-- / 0",""
"2026/03/26 12:50:41 PM AST","0.00 / 0","Yes - Continue to survey","-- / 0","","18-20","-- / 0","","Male","-- / 0","","Sophomore","-- / 0","","3-4 hours","-- / 0","","Tiktok;Instagram;YouTube","-- / 0","","Sometimes","-- / 0","","5","-- / 0","","4","-- / 0","","2","-- / 0","","1","-- / 0","","5","-- / 0","","","-- / 0",""
"2026/03/26 1:36:57 PM AST","0.00 / 0","Yes - Continue to survey","-- / 0","","18-20","-- / 0","","Female","-- / 0","","Sophomore","-- / 0","","Less than 1 hour per day","-- / 0","","Tiktok","-- / 0","","Often","-- / 0","","4","-- / 0","","3","-- / 0","","2","-- / 0","","1","-- / 0","","4","-- / 0","","It doesn't. I always find myself very skeptical either way. ","-- / 0",""
"2026/03/26 1:37:34 PM AST","0.00 / 0","Yes - Continue to survey","-- / 0","","21-23","-- / 0","","Male","-- / 0","","Junior","-- / 0","","3-4 hours","-- / 0","","Tiktok;Instagram","-- / 0","","Sometimes","-- / 0","","4","-- / 0","","4","-- / 0","","4","-- / 0","","2","-- / 0","","4","-- / 0","","","-- / 0",""
"2026/03/26 1:37:53 PM AST","0.00 / 0","Yes - Continue to survey","-- / 0","","18-20","-- / 0","","Female","-- / 0","","Sophomore","-- / 0","","5+ hours","-- / 0","","Tiktok;Instagram","-- / 0","","Sometimes","-- / 0","","5","-- / 0","","4","-- / 0","","4","-- / 0","","2","-- / 0","","5","-- / 0","","","-- / 0",""
"2026/03/26 1:38:52 PM AST","0.00 / 0","Yes - Continue to survey","-- / 0","","18-20","-- / 0","","Male","-- / 0","","Sophomore","-- / 0","","3-4 hours","-- / 0","","Tiktok;Instagram;YouTube","-- / 0","","Rarely","-- / 0","","4","-- / 0","","4","-- / 0","","3","-- / 0","","1","-- / 0","","4","-- / 0","","","-- / 0",""
"2026/03/26 1:46:48 PM AST","0.00 / 0","Yes - Continue to survey","-- / 0","","18-20","-- / 0","","Female","-- / 0","","Freshman","-- / 0","","3-4 hours","-- / 0","","Tiktok;Instagram","-- / 0","","Often","-- / 0","","4","-- / 0","","4","-- / 0","","4","-- / 0","","2","-- / 0","","5","-- / 0","","It often sells me things that influence how I perceive healthy things. When I see things I know are false, it leads to me trust it less. ","-- / 0",""
"2026/04/07 1:56:25 PM AST","0.00 / 0","Yes - Continue to survey","-- / 0","","21-23","-- / 0","","Female","-- / 0","","Junior","-- / 0","","5+ hours","-- / 0","","Tiktok;Instagram","-- / 0","","Sometimes","-- / 0","","4","-- / 0","","4","-- / 0","","4","-- / 0","","1","-- / 0","","4","-- / 0","","I find that social media tend to spread misinformation which contributes to the mistrust","-- / 0",""
"2026/04/07 2:00:08 PM AST","0.00 / 0","Yes - Continue to survey","-- / 0","","18-20","-- / 0","","Female","-- / 0","","Sophomore","-- / 0","","1-2 hours","-- / 0","","Tiktok;Instagram","-- / 0","","Sometimes","-- / 0","","5","-- / 0","","4","-- / 0","","3","-- / 0","","2","-- / 0","","4","-- / 0","","I don't usually trust the health information that I see on social media, I verify before I consider the information I see online","-- / 0",""
"2026/04/07 3:23:32 PM AST","0.00 / 0","Yes - Continue to survey","-- / 0","","18-20","-- / 0","","Male","-- / 0","","Junior","-- / 0","","3-4 hours","-- / 0","","Instagram;YouTube;Twitter/X","-- / 0","","Sometimes","-- / 0","","5","-- / 0","","5","-- / 0","","5","-- / 0","","3","-- / 0","","5","-- / 0","","","-- / 0",""
"2026/04/07 9:08:35 PM AST","0.00 / 0","Yes - Continue to survey","-- / 0","","18-20","-- / 0","","Female","-- / 0","","Sophomore","-- / 0","","3-4 hours","-- / 0","","Instagram;YouTube","-- / 0","","Rarely","-- / 0","","5","-- / 0","","4","-- / 0","","3","-- / 0","","2","-- / 0","","5","-- / 0","","sometimes","-- / 0",""
